"freq,statinfo,geo,comspec,unit\TIME_PERIOD",1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,SME,EU27_2020,CO_ALL,I00",102.56,102.64,102.66,102.55,102.35,102.1,101.81,101.46,101.07,100.6,100.0,99.25,98.43,97.6,96.82,96.18,95.63,95.11,94.61,94.12,93.62,93.11,92.59,92.08,91.57,91.06,90.57,90.08,89.59,89.11,88.63,88.16,87.7,87.23
"A,SME,EU27_2020,CO_ALL,I90",100.0,100.07,100.09,99.99,99.78,99.54,99.25,98.93,98.53,98.08,97.49,96.76,95.96,95.14,94.39,93.75,93.22,92.72,92.23,91.74,91.26,90.76,90.25,89.74,89.25,88.76,88.28,87.8,87.32,86.86,86.39,85.93,85.48,85.03
"A,SME,EU27_2020,CO_FARM,I00",119.17,116.78,114.5,112.29,110.21,108.29,106.5,104.81,103.17,101.54,100.0,98.59,97.27,95.98,94.71,93.42,92.15,90.96,89.8,88.64,87.42,86.11,84.74,83.38,82.0,80.61,79.22,77.79,76.35,74.89,73.43,71.95,70.48,69.0
"A,SME,EU27_2020,CO_FARM,I90",100.0,97.99,96.09,94.25,92.51,90.91,89.42,88.01,86.64,85.29,84.0,82.81,81.7,80.63,79.56,78.47,77.4,76.41,75.43,74.45,73.43,72.33,71.18,70.03,68.87,67.7,66.52,65.32,64.1,62.87,61.63,60.39,59.14,57.9
"A,SME,EU27_2020,CO_FOR,I00",106.0,106.16,106.2,106.01,105.52,104.75,103.82,102.82,101.85,100.97,100.0,98.77,97.44,96.18,95.12,94.42,94.01,93.72,93.54,93.44,93.43,93.46,93.59,93.79,94.09,94.49,94.97,95.55,96.23,97.01,97.87,98.85,99.92,101.11
"A,SME,EU27_2020,CO_FOR,I90",100.0,100.17,100.22,100.05,99.59,98.88,98.01,97.07,96.16,95.34,94.42,93.26,92.01,90.81,89.81,89.15,88.75,88.47,88.29,88.2,88.18,88.21,88.33,88.53,88.82,89.2,89.66,90.21,90.86,91.6,92.44,93.37,94.4,95.54
